====================
Model: SRCNN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: SRCNN_X3
====================
[Epoch 050] train_loss=0.0022 | train_psnr=33.12 dB | val_loss=0.0020 | val_psnr=29.12 dB | time=55.1s
[Epoch 051] train_loss=0.0022 | train_psnr=33.26 dB | val_loss=0.0020 | val_psnr=29.13 dB | time=54.4s
[Epoch 052] train_loss=0.0022 | train_psnr=33.34 dB | val_loss=0.0020 | val_psnr=29.10 dB | time=55.6s
[Epoch 053] train_loss=0.0022 | train_psnr=33.33 dB | val_loss=0.0020 | val_psnr=29.13 dB | time=57.0s
[Epoch 054] train_loss=0.0023 | train_psnr=33.27 dB | val_loss=0.0020 | val_psnr=29.01 dB | time=54.5s
[Epoch 055] train_loss=0.0022 | train_psnr=33.23 dB | val_loss=0.0020 | val_psnr=29.15 dB | time=54.9s
[Epoch 056] train_loss=0.0022 | train_psnr=33.18 dB | val_loss=0.0020 | val_psnr=29.12 dB | time=53.9s
[Epoch 057] train_loss=0.0021 | train_psnr=33.57 dB | val_loss=0.0020 | val_psnr=29.14 dB | time=55.0s
[Epoch 058] train_loss=0.0022 | train_psnr=33.18 dB | val_loss=0.0020 | val_psnr=29.14 dB | time=53.6s
[Epoch 059] train_loss=0.0022 | train_psnr=33.12 dB | val_loss=0.0020 | val_psnr=29.17 dB | time=54.2s
[Epoch 060] train_loss=0.0021 | train_psnr=33.53 dB | val_loss=0.0020 | val_psnr=29.17 dB | time=53.8s
[Epoch 061] train_loss=0.0022 | train_psnr=33.33 dB | val_loss=0.0020 | val_psnr=29.17 dB | time=54.2s
[Epoch 062] train_loss=0.0022 | train_psnr=33.41 dB | val_loss=0.0020 | val_psnr=29.13 dB | time=55.2s
[Epoch 063] train_loss=0.0022 | train_psnr=33.02 dB | val_loss=0.0020 | val_psnr=29.18 dB | time=54.5s
[Epoch 064] train_loss=0.0021 | train_psnr=33.26 dB | val_loss=0.0020 | val_psnr=29.18 dB | time=55.4s
[Epoch 065] train_loss=0.0022 | train_psnr=33.34 dB | val_loss=0.0020 | val_psnr=29.18 dB | time=56.9s
[Epoch 066] train_loss=0.0021 | train_psnr=33.40 dB | val_loss=0.0020 | val_psnr=29.19 dB | time=58.1s
[Epoch 067] train_loss=0.0023 | train_psnr=33.21 dB | val_loss=0.0020 | val_psnr=29.19 dB | time=53.2s
[Epoch 068] train_loss=0.0022 | train_psnr=33.29 dB | val_loss=0.0020 | val_psnr=29.19 dB | time=53.3s
[Epoch 069] train_loss=0.0023 | train_psnr=33.27 dB | val_loss=0.0020 | val_psnr=29.20 dB | time=53.0s
[Epoch 070] train_loss=0.0022 | train_psnr=33.38 dB | val_loss=0.0020 | val_psnr=29.20 dB | time=56.5s
[Epoch 071] train_loss=0.0022 | train_psnr=33.41 dB | val_loss=0.0020 | val_psnr=29.21 dB | time=53.5s
[Epoch 072] train_loss=0.0022 | train_psnr=33.23 dB | val_loss=0.0020 | val_psnr=29.18 dB | time=55.1s
[Epoch 073] train_loss=0.0021 | train_psnr=33.44 dB | val_loss=0.0020 | val_psnr=29.21 dB | time=54.1s
[Epoch 074] train_loss=0.0021 | train_psnr=33.57 dB | val_loss=0.0020 | val_psnr=29.22 dB | time=53.0s
[Epoch 075] train_loss=0.0022 | train_psnr=33.52 dB | val_loss=0.0020 | val_psnr=29.22 dB | time=53.9s
[Epoch 076] train_loss=0.0022 | train_psnr=33.30 dB | val_loss=0.0020 | val_psnr=29.21 dB | time=52.4s
[Epoch 077] train_loss=0.0022 | train_psnr=33.18 dB | val_loss=0.0020 | val_psnr=29.22 dB | time=52.8s
[Epoch 078] train_loss=0.0021 | train_psnr=33.46 dB | val_loss=0.0020 | val_psnr=29.19 dB | time=52.9s
[Epoch 079] train_loss=0.0022 | train_psnr=33.44 dB | val_loss=0.0020 | val_psnr=29.23 dB | time=52.9s
[Epoch 080] train_loss=0.0022 | train_psnr=33.39 dB | val_loss=0.0020 | val_psnr=29.24 dB | time=52.7s
[Epoch 081] train_loss=0.0022 | train_psnr=33.43 dB | val_loss=0.0020 | val_psnr=29.23 dB | time=52.0s
[Epoch 082] train_loss=0.0022 | train_psnr=33.24 dB | val_loss=0.0020 | val_psnr=29.25 dB | time=55.3s
[Epoch 083] train_loss=0.0022 | train_psnr=33.37 dB | val_loss=0.0020 | val_psnr=29.24 dB | time=54.3s
[Epoch 084] train_loss=0.0021 | train_psnr=33.33 dB | val_loss=0.0020 | val_psnr=29.25 dB | time=53.7s
[Epoch 085] train_loss=0.0021 | train_psnr=33.29 dB | val_loss=0.0020 | val_psnr=29.19 dB | time=52.6s
[Epoch 086] train_loss=0.0021 | train_psnr=33.47 dB | val_loss=0.0020 | val_psnr=29.25 dB | time=54.3s
[Epoch 087] train_loss=0.0021 | train_psnr=33.74 dB | val_loss=0.0020 | val_psnr=29.26 dB | time=52.0s
[Epoch 088] train_loss=0.0021 | train_psnr=33.72 dB | val_loss=0.0020 | val_psnr=29.26 dB | time=53.7s
[Epoch 089] train_loss=0.0021 | train_psnr=33.71 dB | val_loss=0.0020 | val_psnr=29.26 dB | time=54.5s
[Epoch 090] train_loss=0.0021 | train_psnr=33.86 dB | val_loss=0.0020 | val_psnr=29.27 dB | time=54.5s
[Epoch 091] train_loss=0.0021 | train_psnr=33.65 dB | val_loss=0.0020 | val_psnr=29.27 dB | time=54.0s
[Epoch 092] train_loss=0.0021 | train_psnr=33.55 dB | val_loss=0.0020 | val_psnr=29.21 dB | time=56.1s
[Epoch 093] train_loss=0.0021 | train_psnr=33.50 dB | val_loss=0.0020 | val_psnr=29.28 dB | time=58.1s
[Epoch 094] train_loss=0.0021 | train_psnr=33.60 dB | val_loss=0.0020 | val_psnr=29.28 dB | time=56.7s
[Epoch 095] train_loss=0.0021 | train_psnr=33.71 dB | val_loss=0.0020 | val_psnr=29.28 dB | time=54.7s
[Epoch 096] train_loss=0.0021 | train_psnr=33.25 dB | val_loss=0.0020 | val_psnr=29.28 dB | time=53.3s
[Epoch 097] train_loss=0.0021 | train_psnr=33.60 dB | val_loss=0.0020 | val_psnr=29.29 dB | time=56.0s
[Epoch 098] train_loss=0.0021 | train_psnr=33.72 dB | val_loss=0.0020 | val_psnr=29.28 dB | time=57.0s
[Epoch 099] train_loss=0.0021 | train_psnr=33.45 dB | val_loss=0.0020 | val_psnr=29.29 dB | time=56.8s
[Epoch 100] train_loss=0.0021 | train_psnr=33.54 dB | val_loss=0.0020 | val_psnr=29.29 dB | time=55.3s
[Epoch 101] train_loss=0.0021 | train_psnr=33.68 dB | val_loss=0.0020 | val_psnr=29.30 dB | time=53.9s
[Epoch 102] train_loss=0.0021 | train_psnr=33.69 dB | val_loss=0.0020 | val_psnr=29.30 dB | time=54.2s
[Epoch 103] train_loss=0.0021 | train_psnr=33.54 dB | val_loss=0.0019 | val_psnr=29.30 dB | time=53.5s
[Epoch 104] train_loss=0.0021 | train_psnr=33.85 dB | val_loss=0.0020 | val_psnr=29.29 dB | time=53.4s
[Epoch 105] train_loss=0.0021 | train_psnr=33.47 dB | val_loss=0.0019 | val_psnr=29.31 dB | time=54.2s
[Epoch 106] train_loss=0.0022 | train_psnr=33.14 dB | val_loss=0.0019 | val_psnr=29.31 dB | time=55.1s
[Epoch 107] train_loss=0.0021 | train_psnr=33.59 dB | val_loss=0.0019 | val_psnr=29.31 dB | time=54.2s
[Epoch 108] train_loss=0.0021 | train_psnr=33.49 dB | val_loss=0.0019 | val_psnr=29.31 dB | time=53.3s
[Epoch 109] train_loss=0.0021 | train_psnr=33.60 dB | val_loss=0.0019 | val_psnr=29.31 dB | time=55.3s
[Epoch 110] train_loss=0.0021 | train_psnr=33.42 dB | val_loss=0.0019 | val_psnr=29.31 dB | time=53.2s
[Epoch 111] train_loss=0.0022 | train_psnr=33.42 dB | val_loss=0.0020 | val_psnr=29.23 dB | time=56.8s
[Epoch 112] train_loss=0.0022 | train_psnr=33.48 dB | val_loss=0.0019 | val_psnr=29.32 dB | time=54.6s
[Epoch 113] train_loss=0.0021 | train_psnr=33.71 dB | val_loss=0.0019 | val_psnr=29.32 dB | time=53.8s
[Epoch 114] train_loss=0.0021 | train_psnr=33.28 dB | val_loss=0.0019 | val_psnr=29.32 dB | time=54.8s
[Epoch 115] train_loss=0.0020 | train_psnr=33.82 dB | val_loss=0.0019 | val_psnr=29.33 dB | time=52.9s
[Epoch 116] train_loss=0.0021 | train_psnr=33.69 dB | val_loss=0.0020 | val_psnr=29.28 dB | time=54.1s
[Epoch 117] train_loss=0.0020 | train_psnr=33.79 dB | val_loss=0.0019 | val_psnr=29.33 dB | time=53.5s
[Epoch 118] train_loss=0.0022 | train_psnr=33.30 dB | val_loss=0.0019 | val_psnr=29.34 dB | time=54.3s
[Epoch 119] train_loss=0.0021 | train_psnr=33.48 dB | val_loss=0.0019 | val_psnr=29.34 dB | time=55.4s
[Epoch 120] train_loss=0.0021 | train_psnr=33.52 dB | val_loss=0.0019 | val_psnr=29.34 dB | time=54.2s
[Epoch 121] train_loss=0.0021 | train_psnr=33.50 dB | val_loss=0.0019 | val_psnr=29.33 dB | time=54.1s
[Epoch 122] train_loss=0.0021 | train_psnr=33.59 dB | val_loss=0.0019 | val_psnr=29.34 dB | time=53.4s
[Epoch 123] train_loss=0.0021 | train_psnr=33.48 dB | val_loss=0.0019 | val_psnr=29.33 dB | time=56.8s
[Epoch 124] train_loss=0.0022 | train_psnr=33.50 dB | val_loss=0.0019 | val_psnr=29.34 dB | time=54.4s
[Epoch 125] train_loss=0.0021 | train_psnr=33.58 dB | val_loss=0.0019 | val_psnr=29.34 dB | time=53.8s
[Epoch 126] train_loss=0.0022 | train_psnr=33.35 dB | val_loss=0.0019 | val_psnr=29.35 dB | time=56.0s
[Epoch 127] train_loss=0.0022 | train_psnr=33.41 dB | val_loss=0.0019 | val_psnr=29.35 dB | time=55.2s
[Epoch 128] train_loss=0.0021 | train_psnr=33.42 dB | val_loss=0.0019 | val_psnr=29.35 dB | time=55.3s
[Epoch 129] train_loss=0.0020 | train_psnr=33.66 dB | val_loss=0.0019 | val_psnr=29.35 dB | time=55.4s
[Epoch 130] train_loss=0.0020 | train_psnr=33.86 dB | val_loss=0.0019 | val_psnr=29.35 dB | time=57.8s
[Epoch 131] train_loss=0.0021 | train_psnr=33.75 dB | val_loss=0.0019 | val_psnr=29.33 dB | time=57.3s
[Epoch 132] train_loss=0.0021 | train_psnr=33.62 dB | val_loss=0.0019 | val_psnr=29.35 dB | time=54.5s
[Epoch 133] train_loss=0.0021 | train_psnr=33.27 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=57.9s
[Epoch 134] train_loss=0.0022 | train_psnr=33.56 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=56.3s
[Epoch 135] train_loss=0.0021 | train_psnr=33.52 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=54.9s
[Epoch 136] train_loss=0.0021 | train_psnr=33.60 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=55.6s
[Epoch 137] train_loss=0.0021 | train_psnr=33.79 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=54.8s
[Epoch 138] train_loss=0.0020 | train_psnr=33.50 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=58.4s
[Epoch 139] train_loss=0.0022 | train_psnr=33.59 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=55.7s
[Epoch 140] train_loss=0.0021 | train_psnr=33.50 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=57.3s
[Epoch 141] train_loss=0.0021 | train_psnr=33.54 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=55.8s
[Epoch 142] train_loss=0.0021 | train_psnr=33.57 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=56.5s
[Epoch 143] train_loss=0.0021 | train_psnr=33.44 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=56.8s
[Epoch 144] train_loss=0.0020 | train_psnr=33.74 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=57.4s
[Epoch 145] train_loss=0.0021 | train_psnr=33.40 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=56.7s
[Epoch 146] train_loss=0.0022 | train_psnr=33.71 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=56.1s
[Epoch 147] train_loss=0.0020 | train_psnr=33.71 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=56.2s
[Epoch 148] train_loss=0.0021 | train_psnr=33.48 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=53.9s
[Epoch 149] train_loss=0.0021 | train_psnr=33.54 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=53.4s
[Epoch 150] train_loss=0.0021 | train_psnr=33.77 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=54.5s
[Epoch 151] train_loss=0.0022 | train_psnr=33.51 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=56.8s
[Epoch 152] train_loss=0.0021 | train_psnr=33.69 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=55.2s
[Epoch 153] train_loss=0.0021 | train_psnr=33.40 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=56.3s
[Epoch 154] train_loss=0.0021 | train_psnr=33.63 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=57.1s
[Epoch 155] train_loss=0.0020 | train_psnr=33.64 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=56.5s
[Epoch 156] train_loss=0.0021 | train_psnr=33.16 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=53.1s
[Epoch 157] train_loss=0.0022 | train_psnr=33.60 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=56.8s
[Epoch 158] train_loss=0.0020 | train_psnr=33.80 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=56.2s
[Epoch 159] train_loss=0.0020 | train_psnr=33.76 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=53.2s
[Epoch 160] train_loss=0.0021 | train_psnr=33.78 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=56.3s
[Epoch 161] train_loss=0.0021 | train_psnr=33.69 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=56.1s
[Epoch 162] train_loss=0.0020 | train_psnr=33.72 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=53.8s
[Epoch 163] train_loss=0.0021 | train_psnr=33.68 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=53.5s
[Epoch 164] train_loss=0.0021 | train_psnr=33.37 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=54.0s
[Epoch 165] train_loss=0.0020 | train_psnr=33.55 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=58.1s
[Epoch 166] train_loss=0.0021 | train_psnr=33.63 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=53.4s
[Epoch 167] train_loss=0.0021 | train_psnr=33.70 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=53.7s
[Epoch 168] train_loss=0.0021 | train_psnr=33.79 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=53.9s
[Epoch 169] train_loss=0.0021 | train_psnr=33.71 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=56.5s
[Epoch 170] train_loss=0.0021 | train_psnr=33.76 dB | val_loss=0.0019 | val_psnr=29.28 dB | time=59.6s
[Epoch 171] train_loss=0.0021 | train_psnr=33.55 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=54.8s
[Epoch 172] train_loss=0.0021 | train_psnr=33.53 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=56.3s
[Epoch 173] train_loss=0.0020 | train_psnr=33.69 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=57.2s
[Epoch 174] train_loss=0.0021 | train_psnr=33.68 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=55.2s
[Epoch 175] train_loss=0.0020 | train_psnr=33.84 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=55.8s
[Epoch 176] train_loss=0.0021 | train_psnr=33.72 dB | val_loss=0.0019 | val_psnr=29.35 dB | time=52.3s
[Epoch 177] train_loss=0.0021 | train_psnr=33.48 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=52.3s
[Epoch 178] train_loss=0.0021 | train_psnr=33.48 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=53.2s
[Epoch 179] train_loss=0.0021 | train_psnr=33.49 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=51.8s
[Epoch 180] train_loss=0.0022 | train_psnr=33.67 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=52.4s
[Epoch 181] train_loss=0.0021 | train_psnr=33.45 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=52.7s
[Epoch 182] train_loss=0.0020 | train_psnr=33.44 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=53.6s
[Epoch 183] train_loss=0.0020 | train_psnr=33.82 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=52.8s
[Epoch 184] train_loss=0.0022 | train_psnr=33.47 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=51.7s
[Epoch 185] train_loss=0.0021 | train_psnr=33.70 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=54.2s
[Epoch 186] train_loss=0.0021 | train_psnr=33.68 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=52.8s
[Epoch 187] train_loss=0.0021 | train_psnr=33.74 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=53.2s
[Epoch 188] train_loss=0.0021 | train_psnr=33.60 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=55.6s
[Epoch 189] train_loss=0.0021 | train_psnr=33.55 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=55.0s
[Epoch 190] train_loss=0.0020 | train_psnr=33.70 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=55.1s
[Epoch 191] train_loss=0.0020 | train_psnr=33.67 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=53.8s
[Epoch 192] train_loss=0.0021 | train_psnr=33.35 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=53.8s
[Epoch 193] train_loss=0.0020 | train_psnr=33.77 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=53.1s
[Epoch 194] train_loss=0.0021 | train_psnr=33.76 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=54.8s
[Epoch 195] train_loss=0.0021 | train_psnr=33.44 dB | val_loss=0.0019 | val_psnr=29.41 dB | time=55.5s
[Epoch 196] train_loss=0.0021 | train_psnr=33.58 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=54.0s
[Epoch 197] train_loss=0.0020 | train_psnr=33.54 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=53.4s
[Epoch 198] train_loss=0.0020 | train_psnr=33.61 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=53.3s
[Epoch 199] train_loss=0.0021 | train_psnr=33.55 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=54.4s
[Epoch 200] train_loss=0.0020 | train_psnr=33.66 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=53.6s
[Epoch 201] train_loss=0.0022 | train_psnr=33.60 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=54.3s
[Epoch 202] train_loss=0.0021 | train_psnr=33.59 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=54.2s
[Epoch 203] train_loss=0.0020 | train_psnr=33.77 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=56.0s
[Epoch 204] train_loss=0.0020 | train_psnr=33.70 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=54.4s
[Epoch 205] train_loss=0.0021 | train_psnr=33.63 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=52.9s
[Epoch 206] train_loss=0.0021 | train_psnr=33.75 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=55.0s
[Epoch 207] train_loss=0.0020 | train_psnr=33.88 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=51.8s
[Epoch 208] train_loss=0.0019 | train_psnr=34.09 dB | val_loss=0.0019 | val_psnr=29.44 dB | time=52.4s
[Epoch 209] train_loss=0.0021 | train_psnr=33.25 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=54.8s
[Epoch 210] train_loss=0.0020 | train_psnr=33.81 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=54.8s
[Epoch 211] train_loss=0.0021 | train_psnr=33.78 dB | val_loss=0.0019 | val_psnr=29.44 dB | time=56.8s
[Epoch 212] train_loss=0.0020 | train_psnr=33.70 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=55.6s
[Epoch 213] train_loss=0.0022 | train_psnr=33.42 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=55.1s
[Epoch 214] train_loss=0.0021 | train_psnr=33.71 dB | val_loss=0.0019 | val_psnr=29.44 dB | time=53.0s
[Epoch 215] train_loss=0.0020 | train_psnr=33.79 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=56.3s
[Epoch 216] train_loss=0.0021 | train_psnr=33.61 dB | val_loss=0.0019 | val_psnr=29.44 dB | time=57.4s
[Epoch 217] train_loss=0.0020 | train_psnr=33.41 dB | val_loss=0.0019 | val_psnr=29.44 dB | time=57.3s
[Epoch 218] train_loss=0.0020 | train_psnr=33.74 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=54.8s
[Epoch 219] train_loss=0.0021 | train_psnr=33.74 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=55.3s
