====================
Model: FSRCNN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: FSRCNN_X3
====================
[Epoch 001] train_loss=0.0516 | train_psnr=19.35 dB | val_loss=0.0129 | val_psnr=22.41 dB | time=66.4s
[Epoch 002] train_loss=0.0142 | train_psnr=24.16 dB | val_loss=0.0077 | val_psnr=23.73 dB | time=69.4s
[Epoch 003] train_loss=0.0100 | train_psnr=25.00 dB | val_loss=0.0067 | val_psnr=24.31 dB | time=67.1s
[Epoch 004] train_loss=0.0085 | train_psnr=25.71 dB | val_loss=0.0062 | val_psnr=24.62 dB | time=74.2s
[Epoch 005] train_loss=0.0076 | train_psnr=26.53 dB | val_loss=0.0055 | val_psnr=25.30 dB | time=73.8s
[Epoch 006] train_loss=0.0066 | train_psnr=27.41 dB | val_loss=0.0048 | val_psnr=25.78 dB | time=77.8s
[Epoch 007] train_loss=0.0059 | train_psnr=27.87 dB | val_loss=0.0041 | val_psnr=26.17 dB | time=71.7s
[Epoch 008] train_loss=0.0054 | train_psnr=28.26 dB | val_loss=0.0037 | val_psnr=26.57 dB | time=72.5s
[Epoch 009] train_loss=0.0049 | train_psnr=28.81 dB | val_loss=0.0034 | val_psnr=26.90 dB | time=76.8s
[Epoch 010] train_loss=0.0046 | train_psnr=29.17 dB | val_loss=0.0032 | val_psnr=27.19 dB | time=78.1s
[Epoch 011] train_loss=0.0043 | train_psnr=29.24 dB | val_loss=0.0031 | val_psnr=27.41 dB | time=72.4s
[Epoch 012] train_loss=0.0043 | train_psnr=29.50 dB | val_loss=0.0030 | val_psnr=27.61 dB | time=71.0s
[Epoch 013] train_loss=0.0040 | train_psnr=29.65 dB | val_loss=0.0030 | val_psnr=27.66 dB | time=72.7s
[Epoch 014] train_loss=0.0038 | train_psnr=30.11 dB | val_loss=0.0029 | val_psnr=27.81 dB | time=75.1s
[Epoch 015] train_loss=0.0038 | train_psnr=30.09 dB | val_loss=0.0028 | val_psnr=27.97 dB | time=75.1s
[Epoch 016] train_loss=0.0036 | train_psnr=30.23 dB | val_loss=0.0028 | val_psnr=27.79 dB | time=70.6s
[Epoch 017] train_loss=0.0036 | train_psnr=30.18 dB | val_loss=0.0027 | val_psnr=28.07 dB | time=74.9s
[Epoch 018] train_loss=0.0035 | train_psnr=30.55 dB | val_loss=0.0026 | val_psnr=28.23 dB | time=72.8s
[Epoch 019] train_loss=0.0034 | train_psnr=30.80 dB | val_loss=0.0026 | val_psnr=28.30 dB | time=74.5s
[Epoch 020] train_loss=0.0033 | train_psnr=30.93 dB | val_loss=0.0026 | val_psnr=28.35 dB | time=76.6s
[Epoch 021] train_loss=0.0032 | train_psnr=31.15 dB | val_loss=0.0025 | val_psnr=28.40 dB | time=68.2s
[Epoch 022] train_loss=0.0032 | train_psnr=30.69 dB | val_loss=0.0025 | val_psnr=28.46 dB | time=76.0s
[Epoch 023] train_loss=0.0032 | train_psnr=31.21 dB | val_loss=0.0025 | val_psnr=28.30 dB | time=76.7s
[Epoch 024] train_loss=0.0030 | train_psnr=30.72 dB | val_loss=0.0026 | val_psnr=27.97 dB | time=69.1s
[Epoch 025] train_loss=0.0031 | train_psnr=31.14 dB | val_loss=0.0025 | val_psnr=28.50 dB | time=68.6s
[Epoch 026] train_loss=0.0031 | train_psnr=31.22 dB | val_loss=0.0025 | val_psnr=28.18 dB | time=70.7s
[Epoch 027] train_loss=0.0031 | train_psnr=31.07 dB | val_loss=0.0024 | val_psnr=28.61 dB | time=75.4s
[Epoch 028] train_loss=0.0030 | train_psnr=31.39 dB | val_loss=0.0024 | val_psnr=28.65 dB | time=72.5s
[Epoch 029] train_loss=0.0030 | train_psnr=31.42 dB | val_loss=0.0024 | val_psnr=28.67 dB | time=68.3s
[Epoch 030] train_loss=0.0029 | train_psnr=31.53 dB | val_loss=0.0024 | val_psnr=28.69 dB | time=69.8s
[Epoch 031] train_loss=0.0028 | train_psnr=31.42 dB | val_loss=0.0024 | val_psnr=28.63 dB | time=73.7s
[Epoch 032] train_loss=0.0030 | train_psnr=30.90 dB | val_loss=0.0024 | val_psnr=28.19 dB | time=75.9s
[Epoch 033] train_loss=0.0028 | train_psnr=31.69 dB | val_loss=0.0024 | val_psnr=28.66 dB | time=66.0s
[Epoch 034] train_loss=0.0028 | train_psnr=31.77 dB | val_loss=0.0023 | val_psnr=28.77 dB | time=67.9s
[Epoch 035] train_loss=0.0029 | train_psnr=31.35 dB | val_loss=0.0025 | val_psnr=27.76 dB | time=72.4s
[Epoch 036] train_loss=0.0028 | train_psnr=31.52 dB | val_loss=0.0023 | val_psnr=28.79 dB | time=75.4s
[Epoch 037] train_loss=0.0027 | train_psnr=31.85 dB | val_loss=0.0023 | val_psnr=28.82 dB | time=70.8s
[Epoch 038] train_loss=0.0027 | train_psnr=31.98 dB | val_loss=0.0023 | val_psnr=28.82 dB | time=65.5s
[Epoch 039] train_loss=0.0028 | train_psnr=31.49 dB | val_loss=0.0023 | val_psnr=28.76 dB | time=74.8s
