====================
Model: EDSR
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: EDSR_X2
====================
[Epoch 001] train_loss=0.0146 | train_psnr=27.71 dB | val_loss=0.0018 | val_psnr=30.21 dB | time=62.5s
[Epoch 002] train_loss=0.0019 | train_psnr=34.06 dB | val_loss=0.0013 | val_psnr=31.68 dB | time=61.1s
[Epoch 003] train_loss=0.0016 | train_psnr=35.16 dB | val_loss=0.0011 | val_psnr=32.13 dB | time=60.3s
[Epoch 004] train_loss=0.0014 | train_psnr=35.63 dB | val_loss=0.0011 | val_psnr=32.36 dB | time=59.4s
[Epoch 005] train_loss=0.0013 | train_psnr=35.88 dB | val_loss=0.0010 | val_psnr=32.46 dB | time=58.8s
[Epoch 006] train_loss=0.0012 | train_psnr=35.83 dB | val_loss=0.0010 | val_psnr=32.35 dB | time=59.2s
[Epoch 007] train_loss=0.0012 | train_psnr=36.35 dB | val_loss=0.0010 | val_psnr=32.57 dB | time=58.4s
[Epoch 008] train_loss=0.0012 | train_psnr=35.82 dB | val_loss=0.0011 | val_psnr=31.87 dB | time=60.7s
[Epoch 009] train_loss=0.0012 | train_psnr=36.01 dB | val_loss=0.0010 | val_psnr=32.62 dB | time=58.7s
[Epoch 010] train_loss=0.0011 | train_psnr=36.44 dB | val_loss=0.0010 | val_psnr=32.63 dB | time=58.9s
[Epoch 011] train_loss=0.0011 | train_psnr=36.54 dB | val_loss=0.0010 | val_psnr=32.66 dB | time=59.3s
[Epoch 012] train_loss=0.0011 | train_psnr=36.44 dB | val_loss=0.0010 | val_psnr=32.64 dB | time=58.9s
[Epoch 013] train_loss=0.0011 | train_psnr=36.18 dB | val_loss=0.0010 | val_psnr=32.69 dB | time=60.1s
[Epoch 014] train_loss=0.0011 | train_psnr=36.66 dB | val_loss=0.0010 | val_psnr=32.60 dB | time=57.4s
[Epoch 015] train_loss=0.0011 | train_psnr=36.23 dB | val_loss=0.0010 | val_psnr=32.75 dB | time=59.2s
[Epoch 016] train_loss=0.0011 | train_psnr=36.53 dB | val_loss=0.0009 | val_psnr=32.77 dB | time=58.2s
[Epoch 017] train_loss=0.0010 | train_psnr=36.40 dB | val_loss=0.0009 | val_psnr=32.81 dB | time=59.7s
[Epoch 018] train_loss=0.0010 | train_psnr=36.71 dB | val_loss=0.0009 | val_psnr=32.86 dB | time=58.8s
[Epoch 019] train_loss=0.0010 | train_psnr=36.70 dB | val_loss=0.0009 | val_psnr=32.88 dB | time=58.6s
[Epoch 020] train_loss=0.0010 | train_psnr=36.38 dB | val_loss=0.0010 | val_psnr=32.09 dB | time=59.5s
[Epoch 021] train_loss=0.0010 | train_psnr=36.61 dB | val_loss=0.0009 | val_psnr=32.93 dB | time=59.1s
[Epoch 022] train_loss=0.0010 | train_psnr=36.73 dB | val_loss=0.0009 | val_psnr=32.99 dB | time=60.1s
[Epoch 023] train_loss=0.0010 | train_psnr=36.50 dB | val_loss=0.0009 | val_psnr=33.01 dB | time=58.6s
[Epoch 024] train_loss=0.0010 | train_psnr=36.43 dB | val_loss=0.0009 | val_psnr=33.04 dB | time=60.0s
[Epoch 025] train_loss=0.0010 | train_psnr=37.00 dB | val_loss=0.0009 | val_psnr=33.00 dB | time=59.9s
[Epoch 026] train_loss=0.0010 | train_psnr=36.76 dB | val_loss=0.0009 | val_psnr=33.05 dB | time=60.8s
[Epoch 027] train_loss=0.0010 | train_psnr=36.48 dB | val_loss=0.0009 | val_psnr=33.03 dB | time=58.3s
[Epoch 028] train_loss=0.0010 | train_psnr=36.53 dB | val_loss=0.0009 | val_psnr=33.12 dB | time=57.7s
[Epoch 029] train_loss=0.0009 | train_psnr=36.71 dB | val_loss=0.0009 | val_psnr=33.16 dB | time=59.5s
[Epoch 030] train_loss=0.0010 | train_psnr=36.47 dB | val_loss=0.0009 | val_psnr=33.03 dB | time=57.9s
[Epoch 031] train_loss=0.0010 | train_psnr=36.13 dB | val_loss=0.0009 | val_psnr=32.93 dB | time=58.9s
[Epoch 032] train_loss=0.0010 | train_psnr=36.36 dB | val_loss=0.0009 | val_psnr=32.46 dB | time=58.8s
[Epoch 033] train_loss=0.0009 | train_psnr=36.75 dB | val_loss=0.0008 | val_psnr=33.25 dB | time=59.1s
[Epoch 034] train_loss=0.0009 | train_psnr=37.05 dB | val_loss=0.0008 | val_psnr=33.26 dB | time=59.2s
[Epoch 035] train_loss=0.0010 | train_psnr=37.07 dB | val_loss=0.0008 | val_psnr=33.31 dB | time=58.6s
[Epoch 036] train_loss=0.0010 | train_psnr=36.61 dB | val_loss=0.0008 | val_psnr=33.18 dB | time=59.0s
[Epoch 037] train_loss=0.0010 | train_psnr=36.20 dB | val_loss=0.0008 | val_psnr=33.12 dB | time=59.5s
[Epoch 038] train_loss=0.0009 | train_psnr=36.79 dB | val_loss=0.0008 | val_psnr=33.36 dB | time=59.2s
[Epoch 039] train_loss=0.0010 | train_psnr=36.60 dB | val_loss=0.0008 | val_psnr=33.39 dB | time=58.0s
