====================
Model: FSRCNN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: FSRCNN_X4
====================
[Epoch 050] train_loss=0.0035 | train_psnr=30.55 dB | val_loss=0.0031 | val_psnr=27.16 dB | time=69.0s
[Epoch 051] train_loss=0.0035 | train_psnr=30.58 dB | val_loss=0.0030 | val_psnr=27.31 dB | time=62.9s
[Epoch 052] train_loss=0.0036 | train_psnr=30.55 dB | val_loss=0.0030 | val_psnr=27.30 dB | time=60.8s
[Epoch 053] train_loss=0.0036 | train_psnr=30.48 dB | val_loss=0.0031 | val_psnr=27.23 dB | time=73.3s
[Epoch 054] train_loss=0.0036 | train_psnr=30.45 dB | val_loss=0.0030 | val_psnr=27.32 dB | time=68.7s
[Epoch 055] train_loss=0.0035 | train_psnr=30.57 dB | val_loss=0.0035 | val_psnr=27.05 dB | time=62.6s
[Epoch 056] train_loss=0.0035 | train_psnr=30.50 dB | val_loss=0.0030 | val_psnr=27.26 dB | time=64.2s
[Epoch 057] train_loss=0.0035 | train_psnr=30.69 dB | val_loss=0.0030 | val_psnr=27.30 dB | time=71.8s
[Epoch 058] train_loss=0.0035 | train_psnr=30.70 dB | val_loss=0.0030 | val_psnr=27.33 dB | time=68.5s
[Epoch 059] train_loss=0.0035 | train_psnr=30.67 dB | val_loss=0.0030 | val_psnr=27.33 dB | time=65.6s
[Epoch 060] train_loss=0.0035 | train_psnr=30.33 dB | val_loss=0.0030 | val_psnr=27.34 dB | time=68.7s
[Epoch 061] train_loss=0.0035 | train_psnr=30.84 dB | val_loss=0.0030 | val_psnr=27.35 dB | time=68.2s
[Epoch 062] train_loss=0.0036 | train_psnr=30.69 dB | val_loss=0.0030 | val_psnr=27.34 dB | time=61.7s
[Epoch 063] train_loss=0.0035 | train_psnr=30.71 dB | val_loss=0.0030 | val_psnr=27.31 dB | time=63.3s
[Epoch 064] train_loss=0.0035 | train_psnr=30.82 dB | val_loss=0.0030 | val_psnr=27.36 dB | time=69.1s
[Epoch 065] train_loss=0.0036 | train_psnr=30.83 dB | val_loss=0.0030 | val_psnr=27.32 dB | time=64.0s
[Epoch 066] train_loss=0.0035 | train_psnr=30.96 dB | val_loss=0.0030 | val_psnr=27.36 dB | time=58.3s
[Epoch 067] train_loss=0.0035 | train_psnr=30.74 dB | val_loss=0.0030 | val_psnr=27.37 dB | time=66.7s
[Epoch 068] train_loss=0.0035 | train_psnr=30.71 dB | val_loss=0.0030 | val_psnr=27.36 dB | time=71.4s
[Epoch 069] train_loss=0.0035 | train_psnr=30.61 dB | val_loss=0.0030 | val_psnr=27.37 dB | time=62.3s
[Epoch 070] train_loss=0.0034 | train_psnr=30.75 dB | val_loss=0.0030 | val_psnr=27.35 dB | time=66.9s
[Epoch 071] train_loss=0.0034 | train_psnr=30.87 dB | val_loss=0.0030 | val_psnr=27.36 dB | time=72.1s
[Epoch 072] train_loss=0.0034 | train_psnr=31.00 dB | val_loss=0.0030 | val_psnr=27.36 dB | time=68.3s
[Epoch 073] train_loss=0.0034 | train_psnr=30.66 dB | val_loss=0.0030 | val_psnr=27.34 dB | time=59.7s
[Epoch 074] train_loss=0.0036 | train_psnr=30.49 dB | val_loss=0.0030 | val_psnr=27.38 dB | time=64.6s
[Epoch 075] train_loss=0.0033 | train_psnr=31.14 dB | val_loss=0.0030 | val_psnr=27.38 dB | time=65.4s
[Epoch 076] train_loss=0.0035 | train_psnr=30.62 dB | val_loss=0.0030 | val_psnr=27.32 dB | time=62.8s
[Epoch 077] train_loss=0.0034 | train_psnr=30.88 dB | val_loss=0.0030 | val_psnr=27.38 dB | time=67.1s
[Epoch 078] train_loss=0.0032 | train_psnr=31.13 dB | val_loss=0.0030 | val_psnr=27.39 dB | time=70.7s
[Epoch 079] train_loss=0.0035 | train_psnr=30.70 dB | val_loss=0.0030 | val_psnr=27.36 dB | time=66.9s
[Epoch 080] train_loss=0.0034 | train_psnr=30.83 dB | val_loss=0.0030 | val_psnr=27.30 dB | time=64.2s
[Epoch 081] train_loss=0.0033 | train_psnr=30.79 dB | val_loss=0.0030 | val_psnr=27.37 dB | time=65.8s
[Epoch 082] train_loss=0.0034 | train_psnr=31.12 dB | val_loss=0.0030 | val_psnr=27.39 dB | time=67.9s
[Epoch 083] train_loss=0.0033 | train_psnr=31.09 dB | val_loss=0.0030 | val_psnr=27.38 dB | time=59.3s
[Epoch 084] train_loss=0.0033 | train_psnr=30.97 dB | val_loss=0.0030 | val_psnr=27.40 dB | time=58.0s
[Epoch 085] train_loss=0.0036 | train_psnr=30.50 dB | val_loss=0.0030 | val_psnr=27.39 dB | time=66.5s
[Epoch 086] train_loss=0.0033 | train_psnr=31.11 dB | val_loss=0.0030 | val_psnr=27.40 dB | time=60.8s
[Epoch 087] train_loss=0.0034 | train_psnr=31.05 dB | val_loss=0.0030 | val_psnr=27.40 dB | time=59.6s
[Epoch 088] train_loss=0.0033 | train_psnr=31.00 dB | val_loss=0.0030 | val_psnr=27.38 dB | time=61.9s
[Epoch 089] train_loss=0.0034 | train_psnr=30.61 dB | val_loss=0.0030 | val_psnr=27.40 dB | time=57.1s
[Epoch 090] train_loss=0.0035 | train_psnr=31.06 dB | val_loss=0.0030 | val_psnr=27.41 dB | time=61.3s
[Epoch 091] train_loss=0.0033 | train_psnr=31.03 dB | val_loss=0.0030 | val_psnr=27.40 dB | time=67.0s
[Epoch 092] train_loss=0.0034 | train_psnr=30.98 dB | val_loss=0.0030 | val_psnr=27.39 dB | time=58.1s
[Epoch 093] train_loss=0.0032 | train_psnr=31.15 dB | val_loss=0.0030 | val_psnr=27.39 dB | time=59.5s
[Epoch 094] train_loss=0.0034 | train_psnr=30.88 dB | val_loss=0.0030 | val_psnr=27.38 dB | time=60.3s
[Epoch 095] train_loss=0.0034 | train_psnr=30.77 dB | val_loss=0.0030 | val_psnr=27.07 dB | time=56.8s
[Epoch 096] train_loss=0.0033 | train_psnr=30.93 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=65.6s
[Epoch 097] train_loss=0.0033 | train_psnr=30.75 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=64.7s
[Epoch 098] train_loss=0.0034 | train_psnr=30.91 dB | val_loss=0.0030 | val_psnr=27.40 dB | time=54.7s
[Epoch 099] train_loss=0.0034 | train_psnr=30.94 dB | val_loss=0.0030 | val_psnr=27.41 dB | time=64.0s
[Epoch 100] train_loss=0.0033 | train_psnr=31.14 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=59.9s
[Epoch 101] train_loss=0.0032 | train_psnr=31.05 dB | val_loss=0.0030 | val_psnr=27.38 dB | time=60.1s
[Epoch 102] train_loss=0.0033 | train_psnr=31.02 dB | val_loss=0.0030 | val_psnr=27.21 dB | time=65.0s
[Epoch 103] train_loss=0.0033 | train_psnr=30.73 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=59.1s
[Epoch 104] train_loss=0.0034 | train_psnr=30.77 dB | val_loss=0.0029 | val_psnr=27.39 dB | time=62.8s
[Epoch 105] train_loss=0.0034 | train_psnr=31.03 dB | val_loss=0.0030 | val_psnr=27.39 dB | time=69.3s
[Epoch 106] train_loss=0.0034 | train_psnr=30.84 dB | val_loss=0.0030 | val_psnr=27.40 dB | time=70.4s
[Epoch 107] train_loss=0.0033 | train_psnr=31.08 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=58.8s
[Epoch 108] train_loss=0.0033 | train_psnr=30.96 dB | val_loss=0.0029 | val_psnr=27.34 dB | time=65.9s
[Epoch 109] train_loss=0.0032 | train_psnr=30.95 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=68.0s
[Epoch 110] train_loss=0.0033 | train_psnr=31.07 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=60.9s
[Epoch 111] train_loss=0.0033 | train_psnr=31.02 dB | val_loss=0.0029 | val_psnr=27.36 dB | time=61.3s
[Epoch 112] train_loss=0.0033 | train_psnr=30.78 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=64.4s
[Epoch 113] train_loss=0.0033 | train_psnr=30.85 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=58.1s
[Epoch 114] train_loss=0.0032 | train_psnr=31.09 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=60.5s
[Epoch 115] train_loss=0.0033 | train_psnr=30.84 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=66.7s
[Epoch 116] train_loss=0.0032 | train_psnr=31.44 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=59.0s
[Epoch 117] train_loss=0.0033 | train_psnr=31.28 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=62.0s
[Epoch 118] train_loss=0.0033 | train_psnr=31.18 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=67.5s
[Epoch 119] train_loss=0.0033 | train_psnr=30.89 dB | val_loss=0.0029 | val_psnr=27.44 dB | time=59.9s
[Epoch 120] train_loss=0.0035 | train_psnr=30.68 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=60.5s
[Epoch 121] train_loss=0.0032 | train_psnr=31.28 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=64.5s
[Epoch 122] train_loss=0.0032 | train_psnr=31.30 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=58.9s
[Epoch 123] train_loss=0.0033 | train_psnr=31.06 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=62.7s
[Epoch 124] train_loss=0.0032 | train_psnr=31.21 dB | val_loss=0.0029 | val_psnr=27.44 dB | time=64.1s
[Epoch 125] train_loss=0.0033 | train_psnr=31.24 dB | val_loss=0.0030 | val_psnr=27.29 dB | time=59.4s
[Epoch 126] train_loss=0.0033 | train_psnr=30.97 dB | val_loss=0.0031 | val_psnr=27.37 dB | time=61.6s
[Epoch 127] train_loss=0.0033 | train_psnr=31.11 dB | val_loss=0.0029 | val_psnr=27.42 dB | time=62.5s
[Epoch 128] train_loss=0.0032 | train_psnr=31.29 dB | val_loss=0.0029 | val_psnr=27.44 dB | time=58.1s
[Epoch 129] train_loss=0.0032 | train_psnr=31.29 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=64.7s
[Epoch 130] train_loss=0.0032 | train_psnr=31.25 dB | val_loss=0.0029 | val_psnr=27.44 dB | time=65.1s
[Epoch 131] train_loss=0.0032 | train_psnr=31.21 dB | val_loss=0.0029 | val_psnr=27.44 dB | time=56.2s
[Epoch 132] train_loss=0.0033 | train_psnr=31.10 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=63.5s
[Epoch 133] train_loss=0.0033 | train_psnr=31.13 dB | val_loss=0.0029 | val_psnr=27.34 dB | time=60.5s
