====================
Model: FSRCNN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: FSRCNN_X2
====================
[Epoch 001] train_loss=0.0362 | train_psnr=20.99 dB | val_loss=0.0115 | val_psnr=23.08 dB | time=75.6s
[Epoch 002] train_loss=0.0120 | train_psnr=24.47 dB | val_loss=0.0072 | val_psnr=23.55 dB | time=83.6s
[Epoch 003] train_loss=0.0085 | train_psnr=25.42 dB | val_loss=0.0062 | val_psnr=24.43 dB | time=91.6s
[Epoch 004] train_loss=0.0071 | train_psnr=26.41 dB | val_loss=0.0050 | val_psnr=25.57 dB | time=94.1s
[Epoch 005] train_loss=0.0054 | train_psnr=27.92 dB | val_loss=0.0038 | val_psnr=26.57 dB | time=95.0s
[Epoch 006] train_loss=0.0043 | train_psnr=28.87 dB | val_loss=0.0031 | val_psnr=27.32 dB | time=96.1s
[Epoch 007] train_loss=0.0039 | train_psnr=29.50 dB | val_loss=0.0028 | val_psnr=27.85 dB | time=94.2s
[Epoch 008] train_loss=0.0035 | train_psnr=30.07 dB | val_loss=0.0026 | val_psnr=28.34 dB | time=94.4s
[Epoch 009] train_loss=0.0031 | train_psnr=30.66 dB | val_loss=0.0023 | val_psnr=28.83 dB | time=96.0s
[Epoch 010] train_loss=0.0029 | train_psnr=31.11 dB | val_loss=0.0022 | val_psnr=29.19 dB | time=91.1s
[Epoch 011] train_loss=0.0028 | train_psnr=31.38 dB | val_loss=0.0020 | val_psnr=29.51 dB | time=88.8s
[Epoch 012] train_loss=0.0026 | train_psnr=32.05 dB | val_loss=0.0019 | val_psnr=29.80 dB | time=92.6s
[Epoch 013] train_loss=0.0025 | train_psnr=32.13 dB | val_loss=0.0019 | val_psnr=30.05 dB | time=95.3s
[Epoch 014] train_loss=0.0023 | train_psnr=32.45 dB | val_loss=0.0018 | val_psnr=30.23 dB | time=91.3s
[Epoch 015] train_loss=0.0022 | train_psnr=32.68 dB | val_loss=0.0017 | val_psnr=30.40 dB | time=94.3s
[Epoch 016] train_loss=0.0022 | train_psnr=32.80 dB | val_loss=0.0016 | val_psnr=30.61 dB | time=103.4s
[Epoch 017] train_loss=0.0021 | train_psnr=33.15 dB | val_loss=0.0016 | val_psnr=30.75 dB | time=99.7s
[Epoch 018] train_loss=0.0020 | train_psnr=33.06 dB | val_loss=0.0015 | val_psnr=30.91 dB | time=98.0s
[Epoch 019] train_loss=0.0020 | train_psnr=33.26 dB | val_loss=0.0015 | val_psnr=31.04 dB | time=96.5s
[Epoch 020] train_loss=0.0019 | train_psnr=33.42 dB | val_loss=0.0015 | val_psnr=31.16 dB | time=90.3s
[Epoch 021] train_loss=0.0019 | train_psnr=33.52 dB | val_loss=0.0014 | val_psnr=31.25 dB | time=93.1s
[Epoch 022] train_loss=0.0018 | train_psnr=33.70 dB | val_loss=0.0014 | val_psnr=31.28 dB | time=92.0s
[Epoch 023] train_loss=0.0018 | train_psnr=33.80 dB | val_loss=0.0014 | val_psnr=31.24 dB | time=99.3s
[Epoch 024] train_loss=0.0018 | train_psnr=33.90 dB | val_loss=0.0013 | val_psnr=31.49 dB | time=90.4s
[Epoch 025] train_loss=0.0017 | train_psnr=33.78 dB | val_loss=0.0013 | val_psnr=31.55 dB | time=92.5s
[Epoch 026] train_loss=0.0017 | train_psnr=34.18 dB | val_loss=0.0013 | val_psnr=31.58 dB | time=94.5s
[Epoch 027] train_loss=0.0018 | train_psnr=33.80 dB | val_loss=0.0013 | val_psnr=31.67 dB | time=92.5s
[Epoch 028] train_loss=0.0017 | train_psnr=34.00 dB | val_loss=0.0013 | val_psnr=31.71 dB | time=89.5s
[Epoch 029] train_loss=0.0016 | train_psnr=34.18 dB | val_loss=0.0015 | val_psnr=31.60 dB | time=93.1s
[Epoch 030] train_loss=0.0017 | train_psnr=33.98 dB | val_loss=0.0013 | val_psnr=31.74 dB | time=95.1s
[Epoch 031] train_loss=0.0016 | train_psnr=34.46 dB | val_loss=0.0013 | val_psnr=31.75 dB | time=87.3s
