====================
Model: ESPCN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: ESPCN_X2
====================
[Epoch 050] train_loss=0.0014 | train_psnr=34.57 dB | val_loss=0.0012 | val_psnr=31.83 dB | time=50.1s
[Epoch 051] train_loss=0.0013 | train_psnr=34.51 dB | val_loss=0.0012 | val_psnr=31.56 dB | time=53.1s
[Epoch 052] train_loss=0.0013 | train_psnr=34.62 dB | val_loss=0.0011 | val_psnr=32.04 dB | time=51.0s
[Epoch 053] train_loss=0.0013 | train_psnr=34.87 dB | val_loss=0.0011 | val_psnr=32.03 dB | time=49.7s
[Epoch 054] train_loss=0.0013 | train_psnr=34.64 dB | val_loss=0.0011 | val_psnr=32.02 dB | time=51.4s
[Epoch 055] train_loss=0.0013 | train_psnr=34.79 dB | val_loss=0.0011 | val_psnr=32.08 dB | time=50.7s
[Epoch 056] train_loss=0.0013 | train_psnr=34.81 dB | val_loss=0.0011 | val_psnr=32.11 dB | time=50.1s
[Epoch 057] train_loss=0.0013 | train_psnr=34.49 dB | val_loss=0.0011 | val_psnr=32.03 dB | time=49.0s
[Epoch 058] train_loss=0.0013 | train_psnr=34.46 dB | val_loss=0.0011 | val_psnr=32.07 dB | time=49.4s
[Epoch 059] train_loss=0.0013 | train_psnr=34.82 dB | val_loss=0.0011 | val_psnr=32.11 dB | time=51.7s
[Epoch 060] train_loss=0.0013 | train_psnr=34.79 dB | val_loss=0.0011 | val_psnr=31.95 dB | time=47.0s
[Epoch 061] train_loss=0.0013 | train_psnr=34.80 dB | val_loss=0.0011 | val_psnr=32.03 dB | time=50.5s
[Epoch 062] train_loss=0.0013 | train_psnr=34.88 dB | val_loss=0.0011 | val_psnr=32.15 dB | time=50.9s
[Epoch 063] train_loss=0.0013 | train_psnr=34.79 dB | val_loss=0.0011 | val_psnr=32.16 dB | time=49.7s
[Epoch 064] train_loss=0.0013 | train_psnr=34.89 dB | val_loss=0.0011 | val_psnr=32.11 dB | time=51.8s
[Epoch 065] train_loss=0.0013 | train_psnr=34.74 dB | val_loss=0.0011 | val_psnr=31.90 dB | time=51.3s
[Epoch 066] train_loss=0.0013 | train_psnr=34.95 dB | val_loss=0.0011 | val_psnr=31.88 dB | time=50.6s
[Epoch 067] train_loss=0.0012 | train_psnr=34.99 dB | val_loss=0.0011 | val_psnr=32.21 dB | time=49.8s
[Epoch 068] train_loss=0.0012 | train_psnr=35.01 dB | val_loss=0.0011 | val_psnr=32.17 dB | time=49.5s
[Epoch 069] train_loss=0.0013 | train_psnr=35.14 dB | val_loss=0.0011 | val_psnr=32.18 dB | time=50.9s
[Epoch 070] train_loss=0.0013 | train_psnr=34.96 dB | val_loss=0.0011 | val_psnr=32.19 dB | time=50.2s
[Epoch 071] train_loss=0.0013 | train_psnr=34.94 dB | val_loss=0.0011 | val_psnr=32.20 dB | time=50.5s
[Epoch 072] train_loss=0.0012 | train_psnr=35.27 dB | val_loss=0.0011 | val_psnr=32.17 dB | time=52.3s
[Epoch 073] train_loss=0.0013 | train_psnr=34.94 dB | val_loss=0.0011 | val_psnr=32.16 dB | time=50.7s
[Epoch 074] train_loss=0.0013 | train_psnr=35.11 dB | val_loss=0.0011 | val_psnr=32.27 dB | time=51.0s
[Epoch 075] train_loss=0.0012 | train_psnr=35.17 dB | val_loss=0.0011 | val_psnr=32.29 dB | time=49.5s
[Epoch 076] train_loss=0.0012 | train_psnr=34.91 dB | val_loss=0.0011 | val_psnr=32.17 dB | time=49.3s
[Epoch 077] train_loss=0.0012 | train_psnr=35.11 dB | val_loss=0.0011 | val_psnr=32.27 dB | time=50.1s
[Epoch 078] train_loss=0.0013 | train_psnr=34.92 dB | val_loss=0.0011 | val_psnr=32.29 dB | time=52.4s
[Epoch 079] train_loss=0.0013 | train_psnr=35.07 dB | val_loss=0.0011 | val_psnr=32.30 dB | time=51.1s
[Epoch 080] train_loss=0.0013 | train_psnr=35.21 dB | val_loss=0.0011 | val_psnr=32.25 dB | time=51.4s
[Epoch 081] train_loss=0.0012 | train_psnr=35.26 dB | val_loss=0.0011 | val_psnr=32.13 dB | time=50.6s
[Epoch 082] train_loss=0.0012 | train_psnr=34.88 dB | val_loss=0.0011 | val_psnr=32.18 dB | time=50.1s
[Epoch 083] train_loss=0.0012 | train_psnr=34.93 dB | val_loss=0.0011 | val_psnr=31.93 dB | time=49.1s
[Epoch 084] train_loss=0.0012 | train_psnr=35.32 dB | val_loss=0.0011 | val_psnr=32.27 dB | time=51.2s
[Epoch 085] train_loss=0.0012 | train_psnr=35.06 dB | val_loss=0.0011 | val_psnr=32.24 dB | time=52.1s
[Epoch 086] train_loss=0.0012 | train_psnr=35.26 dB | val_loss=0.0011 | val_psnr=32.27 dB | time=51.4s
[Epoch 087] train_loss=0.0012 | train_psnr=35.20 dB | val_loss=0.0010 | val_psnr=32.36 dB | time=50.2s
[Epoch 088] train_loss=0.0012 | train_psnr=35.27 dB | val_loss=0.0011 | val_psnr=32.30 dB | time=49.2s
[Epoch 089] train_loss=0.0012 | train_psnr=35.24 dB | val_loss=0.0011 | val_psnr=32.04 dB | time=51.0s
[Epoch 090] train_loss=0.0012 | train_psnr=35.32 dB | val_loss=0.0010 | val_psnr=32.34 dB | time=51.4s
[Epoch 091] train_loss=0.0012 | train_psnr=35.27 dB | val_loss=0.0011 | val_psnr=32.29 dB | time=53.5s
[Epoch 092] train_loss=0.0012 | train_psnr=35.09 dB | val_loss=0.0010 | val_psnr=32.21 dB | time=53.2s
